"","id","Letter","CorrAnswer","Stimulus","nback_run.thisRepN","nback_run.thisTrialN","nback_run.thisN","nback_run.thisIndex","fixcross.started","nback_trial.started","trial_resp.keys","trial_resp.corr","currentlevel","trial_resp.rt","Participant","date","expName","psychopyVersion","frameRate","X"
"37","C02N10_t1_nback.csv","P","right","Target",0,36,36,36,210.795486122584,212.795600328116,"right",1,1,0.506198056131325,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"38","C02N10_t1_nback.csv","Y","left","Pretarget",0,37,37,37,214.296062443479,216.297765260794,"left",1,1,0.41220144957606,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"39","C02N10_t1_nback.csv","Y","right","Target",0,38,38,38,217.795521410811,219.795575305556,"right",1,1,0.482288999665798,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"40","C02N10_t1_nback.csv","J","left","Distractor",0,39,39,39,221.295491095016,223.296490714224,"left",1,1,0.405264425906353,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"41","C02N10_t1_nback.csv","Y","left","Lure",0,40,40,40,224.79545275917,226.797301862224,"left",1,1,0.424546875115084,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"42","C02N10_t1_nback.csv","T","left","Distractor",0,41,41,41,228.295417631345,230.297256147931,"left",1,1,0.396745527296844,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"43","C02N10_t1_nback.csv","V","left","Distractor",0,42,42,42,231.796200227962,233.797243797052,"left",1,1,0.432573342567593,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"44","C02N10_t1_nback.csv","N","left","Pretarget",0,43,43,43,235.295543064949,237.297740879838,"left",1,1,0.419985069871473,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"45","C02N10_t1_nback.csv","N","right","Target",0,44,44,44,238.795308398245,240.795184889454,"right",1,1,0.52266867531489,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"46","C02N10_t1_nback.csv","N","right","Target",0,45,45,45,242.296282834492,244.295601130121,"right",1,1,0.478204547882342,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"47","C02N10_t1_nback.csv","X","left","Distractor",0,46,46,46,245.796261180352,247.797937371098,"left",1,1,0.383925956319217,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"48","C02N10_t1_nback.csv","Z","left","Distractor",0,47,47,47,249.295579315582,251.297322233155,"left",1,1,0.436422967246472,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"49","C02N10_t1_nback.csv","H","left","Pretarget",0,48,48,48,252.795310964661,254.7971578221,"left",1,1,0.408661078081423,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"50","C02N10_t1_nback.csv","H","right","Target",0,49,49,49,256.295425009793,258.29543399225,"right",1,1,0.510341856295781,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"51","C02N10_t1_nback.csv","K","left","Distractor",0,50,50,50,259.795407205278,261.79634811771,"left",1,1,0.449702568373141,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"52","C02N10_t1_nback.csv","V","left","Pretarget",0,51,51,51,263.296054744229,265.296971917309,"left",1,1,0.404737348128037,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"53","C02N10_t1_nback.csv","V","right","Target",0,52,52,52,266.795419395757,268.795375766676,"right",1,1,0.426361973150961,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"54","C02N10_t1_nback.csv","R","left","Distractor",0,53,53,53,270.295854563746,272.297691476321,"left",1,1,0.364348048417014,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"55","C02N10_t1_nback.csv","V","left","Lure",0,54,54,54,273.795695285525,275.797426654224,"left",1,1,0.496541914231784,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"56","C02N10_t1_nback.csv","Y","left","Distractor",0,55,55,55,277.295499756671,279.298138674388,"left",1,1,0.435580220243537,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
