"","id","time...1","b1.Rsp","b1.CRsp","b1.RT","time...5","b2.Rsp","b2.CRsp","b2.RT","time...9","b3.Rsp","b3.CRsp","b3.RT","time...13","b4.Rsp","b4.CRsp","b4.RT","time...17","b5.Rsp","b5.CRsp","b5.RT","time...21","b6.Rsp","b6.CRsp","b6.RT"
"205","004.csv","2019_5_26_14_50_22.623",1,0,528,"2019_5_26_14_57_44.444",0,0,0,"2019_5_26_15_4_59.046",0,0,0,"2019_5_26_15_12_10.731",0,1,0,"2019_5_26_15_19_37.42",0,0,0,"2019_5_26_15_26_55.306",1,0,243
"206","004.csv","2019_5_26_14_50_25.657",1,0,445,"2019_5_26_14_57_47.478",0,0,0,"2019_5_26_15_5_2.08",0,0,0,"2019_5_26_15_12_13.765",1,0,577,"2019_5_26_15_19_40.454",0,0,0,"2019_5_26_15_26_58.374",1,0,0
"207","004.csv","2019_5_26_14_50_28.693",1,0,330,"2019_5_26_14_57_50.513",1,1,1806,"2019_5_26_15_5_5.115",0,0,0,"2019_5_26_15_12_16.799",0,0,0,"2019_5_26_15_19_43.489",0,0,0,"2019_5_26_15_27_1.408",1,0,373
"208","004.csv","2019_5_26_14_50_31.726",1,0,801,"2019_5_26_14_57_53.547",0,0,0,"2019_5_26_15_5_8.149",0,0,0,"2019_5_26_15_12_19.834",0,0,0,"2019_5_26_15_19_46.523",0,0,0,"2019_5_26_15_27_4.443",1,0,635
"209","004.csv","2019_5_26_14_50_34.76",1,0,751,"2019_5_26_14_57_56.581",0,0,0,"2019_5_26_15_5_11.183",0,0,0,"2019_5_26_15_12_22.868",0,0,0,"2019_5_26_15_19_49.557",0,0,0,"2019_5_26_15_27_7.477",1,0,785
"210","004.csv","2019_5_26_14_50_37.794",1,0,453,"2019_5_26_14_57_59.615",0,0,0,"2019_5_26_15_5_14.218",1,1,1349,"2019_5_26_15_12_25.902",0,0,0,"2019_5_26_15_19_52.591",1,1,806,"2019_5_26_15_27_10.511",1,0,950
"211","004.csv","2019_5_26_14_50_40.829",1,1,354,"2019_5_26_14_58_2.65",1,1,1053,"2019_5_26_15_5_17.252",0,0,0,"2019_5_26_15_12_28.936",1,1,958,"2019_5_26_15_19_55.625",0,0,0,"2019_5_26_15_27_13.546",1,0,956
"212","004.csv","2019_5_26_14_50_43.863",1,0,384,"2019_5_26_14_58_5.684",1,1,1067,"2019_5_26_15_5_20.286",0,1,0,"2019_5_26_15_12_31.971",0,0,0,"2019_5_26_15_19_58.66",0,1,0,"2019_5_26_15_27_16.58",1,0,802
"213","004.csv","2019_5_26_14_50_46.897",1,0,614,"2019_5_26_14_58_8.718",0,1,0,"2019_5_26_15_5_23.32",1,1,1974,"2019_5_26_15_12_35.005",0,1,0,"2019_5_26_15_20_1.694",0,0,0,"2019_5_26_15_27_19.614",1,0,663
"214","004.csv","2019_5_26_14_50_49.931",1,0,316,"2019_5_26_14_58_11.752",0,0,0,"2019_5_26_15_5_26.355",0,0,0,"2019_5_26_15_12_38.039",0,0,0,"2019_5_26_15_20_4.729",1,1,949,"2019_5_26_15_27_22.648",1,1,549
"215","004.csv","2019_5_26_14_50_52.966",1,0,329,"2019_5_26_14_58_14.787",0,0,0,"2019_5_26_15_5_29.389",0,0,0,"2019_5_26_15_12_41.074",0,0,0,"2019_5_26_15_20_7.763",0,0,0,"2019_5_26_15_27_25.683",1,0,491
"216","004.csv","2019_5_26_14_50_56",1,0,383,"2019_5_26_14_58_17.821",0,0,0,"2019_5_26_15_5_32.423",0,0,0,"2019_5_26_15_12_44.108",0,0,0,"2019_5_26_15_20_10.797",0,0,0,"2019_5_26_15_27_28.717",1,0,496
"217","004.csv","2019_5_26_14_50_59.034",1,1,389,"2019_5_26_14_58_20.855",0,0,0,"2019_5_26_15_5_35.458",1,0,1037,"2019_5_26_15_12_47.142",0,1,0,"2019_5_26_15_20_13.831",0,0,0,"2019_5_26_15_27_31.751",1,0,342
"218","004.csv","2019_5_26_14_51_2.069",1,0,570,"2019_5_26_14_58_23.89",1,0,1445,"2019_5_26_15_5_38.492",0,0,0,"2019_5_26_15_12_50.176",0,1,0,"2019_5_26_15_20_16.866",0,0,0,"2019_5_26_15_27_34.785",1,0,260
"219","004.csv","2019_5_26_14_51_5.103",1,0,384,"2019_5_26_14_58_26.924",0,0,0,"2019_5_26_15_5_41.526",1,1,1688,"2019_5_26_15_12_53.261",0,0,0,"2019_5_26_15_20_19.9",0,1,0,"2019_5_26_15_27_37.82",1,0,130
